pendapatan_ribu,tanggungan
7770,1
1360,3
5890,4
5691,4
6234,2
6765,2
966,4
4926,4
6078,5
8822,2
2185,5
1269,5
7449,3
2933,1
5811,1
5551,4
6920,1
1684,4
5055,4
3885,3
6896,2
9166,1
9774,3
3058,4
8349,2
2547,5
3247,5
9667,5
689,5
3234,3
3505,3
5158,1
2399,4
8234,2
1767,2
2028,4
4056,5
4390,2
9338,1
5893,4
9292,3
8933,7
8013,1
3112,4
7541,3
6735,3
5986,4
7599,2
1275,1
8726,1
3652,5
2085,5
4443,3
8055,3
3573,7
1521,4
4343,3
8489,3
7373,3
6175,2
661,5
4797,1
1495,4
8129,2
9967,2
1516,3
8369,1
6939,1
8392,1
7363,2
8416,4
9029,2
1378,5
9768,1
5387,1
5359,2
6831,1
9071,1
9184,3
7708,5
5776,2
2562,1
564,5
8506,1
3068,2
5963,4
2527,3
3195,2
5758,3
6118,2
7236,5
891,3
6392,1
4061,3
6684,2
3599,4
6778,1
8892,3
3604,2
7715,4
2954,3
9496,3
3231,3
8654,3
5556,5
8610,1
4340,3
1528,3
7885,5
1002,3
7410,1
9562,1
7438,2
4988,2
706,3
5634,3
6477,3
8221,4
7535,2
1984,3
8358,3
1363,7
3290,2
7908,5
9255,1
5616,3
6519,2
2257,2
8074,3
6874,4
7392,2
2178,1
3742,3
5136,3
1559,4
7168,4
3657,6
6415,3
3193,4
4127,3
5950,5
2163,4
6092,4
7892,5
1806,4
7276,2
6364,3
9974,4
8026,3
9401,4
6075,2
6030,1
4913,2
4248,1
1163,4
2498,3
8494,4
1995,2
3804,6
4263,2
5732,1
2353,2
7085,6
1791,4
4081,4
8054,2
7780,2
2136,3
4196,3
1198,5
5237,5
1354,1
8664,5
6355,4
7892,2
7028,2
5749,4
5672,3
2207,1
6291,3
6035,5
5431,4
4010,2
702,2
4718,3
9458,7
4889,1
2827,2
8504,3
3431,3
8277,2
697,7
7625,1
2430,3
6787,3
9300,1
9839,1
4782,3
3011,6
1159,4
