pendapatan_ribu,tanggungan
1444,6
9537,1
8517,1
4738,2
2715,6
1499,4
8246,1
3430,4
3910,3
8678,2
8629,1
3912,4
5462,3
689,6
5190,3
4928,2
8822,2
3434,2
2694,7
8431,1
2412,6
8860,2
5291,3
2660,6
7313,1
10000,2
2373,4
6908,1
1903,7
1612,7
7963,2
9588,2
7214,2
2115,5
4668,2
2417,5
2221,5
973,6
5073,3
1118,7
2954,6
2869,2
9370,2
7274,2
2367,7
4650,2
6578,1
6169,2
5724,2
2131,4
922,5
5199,4
6770,2
2227,6
2418,5
2035,4
3665,2
1376,4
5050,4
1541,4
4613,2
1805,4
7081,2
6413,1
8041,2
2150,5
10000,2
4900,2
2245,7
1790,6
8912,1
2364,4
5930,3
8726,1
2339,7
2162,5
8882,2
1641,7
1246,4
1806,4
6837,1
2287,7
7011,1
3821,2
4615,4
923,7
4893,4
6593,2
4971,3
6546,1
6456,2
4109,4
968,6
9354,2
7148,2
4676,2
4815,2
9542,2
8461,2
1026,7
6861,1
6701,2
2837,2
4031,3
753,7
4761,3
6642,1
8003,1
2286,6
6106,3
4978,3
8984,2
3231,4
5528,2
1988,4
2291,6
8851,1
9237,1
3471,4
7285,2
6910,2
1347,4
4996,2
3598,4
9725,2
8791,2
4522,2
4779,3
2156,7
6075,1
4384,3
7921,2
2159,5
4904,3
7911,2
2068,7
6944,2
2198,7
7780,1
1729,5
5393,2
5882,4
5595,2
9050,1
701,5
5946,2
9369,2
2549,4
960,7
2565,7
3851,3
3243,2
3210,5
7466,1
7336,2
9775,2
4573,3
1920,4
8816,1
2320,4
3875,2
1649,5
5275,3
4944,4
8992,1
9501,1
840,6
9065,2
4383,3
9092,2
6615,2
777,4
9354,2
7407,1
5488,4
3963,2
2095,5
8988,2
6122,4
3239,2
9387,2
6579,2
4134,4
2748,7
4449,2
1232,5
1234,7
1600,7
1593,5
1758,6
878,6
5862,4
7573,2
3748,3
1858,5
1515,5
7774,1
2437,5
4179,2
804,4
